animal,group,slice,y,x
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,596.7964601769911,1381.4026548672566
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,610.1088270858525,1146.756952841596
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,614.2739130434783,789.7660869565217
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,605.5853658536586,1419.6981707317073
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,632.658151416628,1331.1955411054344
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,619.8539741219963,641.5705483672212
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,602.4976958525345,1735.8341013824884
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,613.1629104958146,844.0972311654862
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,612.622521246459,952.1671388101983
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,614.573275862069,902.5495689655172
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,608.8253275109171,1044.593886462882
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,626.7307692307693,1452.7510683760684
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,615.6470588235294,1024.9831932773109
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,631.8427419354839,709.6885080645161
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,633.0373443983402,1361.7178423236514
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,639.2981481481481,986.5537037037037
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,637.016713091922,1405.1476323119778
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,645.3660629170639,881.7588179218303
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,633.88,1171.4711111111112
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,651.6963696369637,1058.7887788778878
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,653.7406593406594,650.8417582417583
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,657.769477054429,925.3094983991463
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,658.9245614035087,1026.298245614035
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,683.9865248226951,1145.2134751773049
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,666.7355658198614,693.3983833718245
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,662.2881355932203,1440.7762711864407
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,668.5309090909091,996.6618181818181
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,675.0641711229947,1099.1604278074867
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,671.1822033898305,1281.4915254237287
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,691.456046624575,785.8819815444391
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,747.3036876355749,1226.6932499681
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,682.3920704845815,726.2731277533039
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,684.2626865671642,1250.8567164179105
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,689.0831600831601,1304.1185031185032
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,699.9242002781641,1018.5994436717664
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,696.3826815642458,1055.6117318435754
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,698.4093264248704,1335.3454231433507
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,694.9607843137255,1279.6196078431371
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,701.8951367781156,968.4498480243161
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,698.2995169082126,731.4202898550725
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,701.3153153153153,1260.5135135135135
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,709.0786885245901,721.527868852459
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,739.4261954261955,897.2153846153847
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,717.6666666666666,1040.8770053475937
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,726.0,1304.6388140161725
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,720.5165876777252,1238.1658767772512
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,734.2512716174974,964.9766022380468
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,737.4623655913979,1085.6146953405018
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,739.6109324758843,792.7813504823151
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,758.7928496319663,1163.7045215562566
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,749.8227571115974,840.4201312910285
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,759.630260521042,1312.9498997995993
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,771.2560590094837,1018.0042149631191
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,769.3625866050809,1140.8221709006928
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,777.4143576826197,1058.9886649874056
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,781.1819354838709,1094.6554838709678
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,798.2778378378379,1124.9351351351352
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,814.3180458624128,1163.1296111665006
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,802.9084712755599,1039.8432327166504
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,845.4712430426716,1107.773654916512
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,920.6879177377892,1152.4322622107968
